STATE,year,month,rain_mm,Temperature_Celsius,Humidity_%,Dewpoint,Pressure_hPa,Wind Speed_m/s,Soil Moisture
Andamanand Nicobar,1975,1,0,20.00645161,58.16129032,10.07741935,10.14451613,10.46774194,0.251096774
Andamanand Nicobar,1975,2,0.415427595,23.15714286,54.78571429,12.04285714,10.12982143,9.017857143,0.253678571
Andamanand Nicobar,1975,3,0,25.53870968,45.90322581,10.80967742,10.11151613,9.441935484,0.257870968
Andamanand Nicobar,1975,4,8.111494064,28.11419634,43.23333333,12.59333333,10.08063333,9.253333333,0.2537
Andamanand Nicobar,1975,5,0,25.9,65.74193548,18.06129032,10.07535484,10.33870968,0.352516129
Andamanand Nicobar,1975,6,959.9449718,22.89333333,76,18.02666667,10.06866667,18.28,0.3992
Andamanand Nicobar,1975,7,0,21.77096774,81.87096774,18.34516129,10.08393548,12.68064516,0.460870968
Andamanand Nicobar,1975,8,580.2840613,21.88709677,80.70967742,18.2483871,10.07048387,15.91612903,0.45583871
Andamanand Nicobar,1975,9,223.1312483,21.62,82.53333333,18.28333333,10.08743333,10.06666667,0.462766667
Andamanand Nicobar,1975,10,111.1620202,21.27096774,82.5483871,17.93870968,10.09474194,8.867741935,0.453193548
Andamanand Nicobar,1975,11,746.4774323,19.45333333,77.46666667,14.95,10.1247,9.8,0.4067
Andamanand Nicobar,1975,12,0,18.7,66.25806452,11.32258065,10.14232258,10.92580645,0.289516129
Andamanand Nicobar,1976,1,0,18.9483871,61.83870968,10.1,10.14803226,10.76451613,0.252451613
Andamanand Nicobar,1976,2,0,21.32413793,46.82758621,6.910344828,10.12989655,10,0.250413793
Andamanand Nicobar,1976,3,0,25.31935484,37.06451613,7.322580645,10.10525806,9.858064516,0.250225806
Andamanand Nicobar,1976,4,62.97627163,26.72333333,49.06666667,13.57333333,10.0996,7.356666667,0.281066667
Andamanand Nicobar,1976,5,0,26.06774194,58.29032258,15.82258065,10.0856129,11.51612903,0.300612903
Andamanand Nicobar,1976,6,398.5631204,24.49,65.43333333,16.9,10.0805,15.00666667,0.291833333
Andamanand Nicobar,1976,7,0,22.77419355,75.58064516,17.89032258,10.08141935,18.14516129,0.373516129
Andamanand Nicobar,1976,8,601.1763634,22.47741935,76.51612903,17.85806452,10.0853871,14.65806452,0.380129032
Andamanand Nicobar,1976,9,0.779039443,22.93,72.5,17.19333333,10.1095,10.61333333,0.3536
Andamanand Nicobar,1976,10,80.2816249,22.70322581,69.35483871,15.89677419,10.11477419,9.006451613,0.355193548
Andamanand Nicobar,1976,11,184.883976,21.14666667,79.96666667,17.16,10.10963333,9.95,0.4052
Andamanand Nicobar,1976,12,0,19.87741935,70.06451613,13.28709677,10.14480645,10.80322581,0.32316129
Andamanand Nicobar,1977,1,0,20.03548387,55.09677419,8.916129032,10.13870968,9.712903226,0.253096774
Andamanand Nicobar,1977,2,4.64197284,22.55714286,54.39285714,10.90714286,10.134,10.475,0.252321429
Andamanand Nicobar,1977,3,0,25.01935484,47.61290323,11,10.12774194,10.09677419,0.252677419
Andamanand Nicobar,1977,4,88.05824681,26.47666667,54.9,15.30333333,10.09333333,7.216666667,0.292033333
Andamanand Nicobar,1977,5,0,24.69677419,73.74193548,19.21935484,10.08729032,7.335483871,0.39883871
Andamanand Nicobar,1977,6,1489.657813,23.60666667,74.36666667,18.39,10.07426667,16.38333333,0.3784
Andamanand Nicobar,1977,7,0,22.66451613,75.41935484,17.77419355,10.07245161,17.12258065,0.360645161
Andamanand Nicobar,1977,8,499.808677,22.65483871,75.12903226,17.72258065,10.0923871,14.7,0.365548387
Andamanand Nicobar,1977,9,3.49875325,22.93666667,75.03333333,17.83666667,10.101,11.55333333,0.3625
Andamanand Nicobar,1977,10,52.37644696,21.77419355,82.16129032,18.29354839,10.12535484,8.990322581,0.455774194
Andamanand Nicobar,1977,11,316.8759809,21.22333333,82.13333333,17.74,10.1267,10.88333333,0.405266667
Andamanand Nicobar,1977,12,0,19.45806452,69.06451613,12.65483871,10.15496774,9.8,0.291774194
Andamanand Nicobar,1978,1,0,20.62258065,57.51612903,10.17741935,10.14993548,9.735483871,0.251806452
